Name,Email,Phone No.,Qualifications,Current Workplace,Job Title,Achievement/Research,
Siddharth Mishra,sid.mishra@example.com,9876543210,B.Tech Computer Science,Microsoft,Software Engineer,Developed a new data encryption algorithm ensuring data security,
Nisha Gupta,nisha.gupta@example.com,8765432109,B.Tech Electrical Engg.,TCS,Systems Analyst,Implemented an automated testing framework resulting in 40% faster testing cycles,
Akash Sharma,akash.sharma@example.com,7654321098,B.Tech Civil Engg.,Larsen & Toubro,Structural Engineer,Designed an award-winning bridge project recognized by the National Engineering Association,
Priya Reddy,priya.reddy@example.com,6543210987,B.Tech Printing Tech.,Print & Pack Solutions,Packaging Engineer,Developed an eco-friendly packaging material reducing carbon footprint,
Rohan Singh,rohan.singh@example.com,5432109876,B.Tech Computer Science,Google,Data Scientist,Published research on sentiment analysis algorithms for social media platforms,
Ayesha Patel,ayesha.patel@example.com,4321098765,B.Tech Electrical Engg.,Indian Railways,Electrical Engineer,Led the implementation of a new signaling system resulting in improved train safety,
Deepak Verma,deepak.verma@example.com,3210987654,B.Tech Civil Engg.,UltraTech Cement,Construction Manager,Oversaw the construction of a high-rise building meeting LEED Platinum standards,
Anjali Sharma,anjali.sharma@example.com,2109876543,B.Tech Printing Tech.,PaperWorks Pvt. Ltd.,Print Quality Analyst,Developed a new color calibration system improving print accuracy,
Karthik Reddy,karthik.reddy@example.com,1098765432,B.Tech Computer Science,Amazon,Software Development Engineer,Implemented a cloud-based data storage system for efficient data retrieval,
Priya Gupta,priya.gupta@example.com,9988776655,B.Tech Electrical Engg.,ABB,Automation Engineer,Designed and implemented an automated control system for manufacturing processes,
Aditya Kumar,aditya.kumar@example.com,8877665544,B.Tech Computer Science,Infosys,Cybersecurity Analyst,Developed a threat detection system reducing cybersecurity breaches,
Neha Singh,neha.singh@example.com,7766554433,B.Tech Civil Engg.,NHAI,Highway Engineer,Managed the design and construction of a new expressway improving traffic flow,
Rahul Verma,rahul.verma@example.com,6655443322,B.Tech Printing Tech.,FlexiPrint Pvt. Ltd.,Printing Operations Manager,Introduced a new eco-friendly ink reducing environmental impact,
Ananya Sharma,ananya.sharma@example.com,5544332211,B.Tech Computer Science,IBM,Cloud Solutions Architect,Architected a scalable cloud infrastructure for global data analytics,
Sanjay Patel,sanjay.patel@example.com,4433221100,B.Tech Electrical Engg.,BHEL,Power Systems Engineer,Spearheaded the installation of a new power grid system providing electricity to remote areas,
Meera Reddy,meera.reddy@example.com,3322110099,B.Tech Civil Engg.,L&T Construction,Project Manager,Managed the construction of a mega mall project within budget and timeline,
Arjun Gupta,arjun.gupta@example.com,2211009988,B.Tech Printing Tech.,InkWorks India,Ink Chemist,Developed a new ink formula for improved print quality,
Pooja Singh,pooja.singh@example.com,1100998877,B.Tech Computer Science,Adobe,Software Engineer,Contributed to the development of a new photo editing software enhancing user experience,
Raj Sharma,raj.sharma@example.com,9988776655,B.Tech Electrical Engg.,Siemens,Control Systems Engineer,Designed and implemented a new control system for industrial automation,
Shreya Patel,shreya.patel@example.com,8877665544,B.Tech Civil Engg.,DMRC,Structural Engineer,Designed the structural framework for a new metro station ensuring safety and stability,
Vikas Verma,vikas.verma@example.com,7766554433,B.Tech Printing Tech.,PrintCraft Industries,Print Quality Analyst,Implemented a new quality control process reducing print defects,
Kavya Reddy,kavya.reddy@example.com,6655443322,B.Tech Computer Science,Microsoft,Software Development Engineer,Developed a new algorithm for image recognition in Azure services,
Arnav Sharma,arnav.sharma@example.com,5544332211,B.Tech Electrical Engg.,GE Renewable Energy,Electrical Engineer,Led the design and installation of wind turbine systems for renewable energy,
Riya Singh,riya.singh@example.com,4433221100,B.Tech Civil Engg.,PWD,Civil Engineer,Managed the construction of a new government building project,
Sameer Gupta,sameer.gupta@example.com,3322110099,B.Tech Printing Tech.,FlexoPrint Innovations,Printing Specialist,Developed a new flexographic printing process improving print speed,
Aaradhya Patel,aaradhya.patel@example.com,2211009988,B.Tech Computer Science,Facebook,Data Analyst,Analyzed user behavior data leading to targeted advertising strategies,
Ria Verma,ria.verma@example.com,1100998877,B.Tech Electrical Engg.,Indian Oil Corporation,Electrical Design Engineer,Designed electrical systems for new refinery projects ensuring compliance with safety standards,
Aryan Singh,aryan.singh@example.com,9988776655,B.Tech Civil Engg.,Larson & Toubro,Structural Engineer,Designed a new bridge with innovative materials increasing load capacity,
Nitya Sharma,nitya.sharma@example.com,8877665544,B.Tech Printing Tech.,InkaPrint Pvt. Ltd.,Ink Chemist,Developed a water-based ink reducing environmental pollution,
Advik Reddy,advik.reddy@example.com,7766554433,B.Tech Computer Science,Google,Machine Learning Engineer,Implemented a new recommendation algorithm improving search accuracy,
Ishika Verma,ishika.verma@example.com,6655443322,B.Tech Electrical Engg.,NTPC,Project Engineer,Oversaw the installation of a new power plant ensuring adherence to government regulations,
